ID Year,Year,ID State,State,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Slug State
2021,"2021","04000US54","West Virginia","true","true","272042","Musicians and singers",25803.578723404255,54790.307443605,"west-virginia"
2021,"2021","04000US55","Wisconsin","true","true","272042","Musicians and singers",18590.567020738494,13277.85386214644,"wisconsin"
2021,"2021","04000US56","Wyoming","true","true","272042","Musicians and singers",23497.744680851065,54063.74666699325,"wyoming"
2020,"2020","04000US72","Puerto Rico","true","true","272042","Musicians and singers",19974.682577565633,39435.50392691085,"puerto-rico"
2020,"2020","04000US01","Alabama","true","true","272042","Musicians and singers",25773.715314136127,16964.22251710504,"alabama"
2020,"2020","04000US02","Alaska","true","true","272042","Musicians and singers",48124.303797468354,62572.64638458054,"alaska"
2020,"2020","04000US04","Arizona","true","true","272042","Musicians and singers",21415.650671785028,29340.978127151287,"arizona"
2020,"2020","04000US05","Arkansas","true","true","272042","Musicians and singers",15056.912447257384,15984.820788526205,"arkansas"
2020,"2020","04000US06","California","true","true","272042","Musicians and singers",51545.34632069409,16934.75777981243,"california"
2020,"2020","04000US08","Colorado","true","true","272042","Musicians and singers",28381.265817023213,24006.27175696647,"colorado"
2020,"2020","04000US09","Connecticut","true","true","272042","Musicians and singers",33839.953690303904,20614.00102110071,"connecticut"
2020,"2020","04000US10","Delaware","true","true","272042","Musicians and singers",55828.29098360656,67554.43554639533,"delaware"
2020,"2020","04000US11","District of Columbia","true","true","272042","Musicians and singers",55275.44874715262,77102.80587211308,"district-of-columbia"
2020,"2020","04000US12","Florida","true","true","272042","Musicians and singers",33256.50895460225,17598.094194327587,"florida"
2020,"2020","04000US13","Georgia","true","true","272042","Musicians and singers",39546.16017727129,32073.33150524269,"georgia"
2020,"2020","04000US15","Hawaii","true","true","272042","Musicians and singers",31315.065721649484,22204.32656111989,"hawaii"
2020,"2020","04000US16","Idaho","true","true","272042","Musicians and singers",16187.231422505309,19809.38341385753,"idaho"
2020,"2020","04000US17","Illinois","true","true","272042","Musicians and singers",35903.80991735537,21806.455515994556,"illinois"
2020,"2020","04000US18","Indiana","true","true","272042","Musicians and singers",19328.64563106796,12644.33165316669,"indiana"
2020,"2020","04000US19","Iowa","true","true","272042","Musicians and singers",10747.824474660074,12870.572898136648,"iowa"
2020,"2020","04000US20","Kansas","true","true","272042","Musicians and singers",39471.325161290326,45566.96823352043,"kansas"
2020,"2020","04000US21","Kentucky","true","true","272042","Musicians and singers",14819.066225165563,27301.567619185844,"kentucky"
2020,"2020","04000US22","Louisiana","true","true","272042","Musicians and singers",27968.09749303621,22764.224374108122,"louisiana"
2020,"2020","04000US23","Maine","true","true","272042","Musicians and singers",11478.20218579235,14918.774777042685,"maine"
2020,"2020","04000US24","Maryland","true","true","272042","Musicians and singers",34847.90491958373,17557.802194388052,"maryland"
2020,"2020","04000US25","Massachusetts","true","true","272042","Musicians and singers",37930.05580746425,27291.07508588232,"massachusetts"
2020,"2020","04000US26","Michigan","true","true","272042","Musicians and singers",34938.99259944496,19282.03362809875,"michigan"
2020,"2020","04000US27","Minnesota","true","true","272042","Musicians and singers",21108.070780399274,15501.747570471725,"minnesota"
2020,"2020","04000US28","Mississippi","true","true","272042","Musicians and singers",15864.385193133046,12513.18003023649,"mississippi"
2020,"2020","04000US29","Missouri","true","true","272042","Musicians and singers",27322.77506213753,12059.683877384638,"missouri"
2020,"2020","04000US30","Montana","true","true","272042","Musicians and singers",15346.360759493671,23037.330281570707,"montana"
2020,"2020","04000US31","Nebraska","true","true","272042","Musicians and singers",12363.203773584906,19962.842636448102,"nebraska"
2020,"2020","04000US32","Nevada","true","true","272042","Musicians and singers",56772.581782566114,56643.25937647808,"nevada"
2020,"2020","04000US33","New Hampshire","true","true","272042","Musicians and singers",9663.461240310078,14371.362783001037,"new-hampshire"
2020,"2020","04000US34","New Jersey","true","true","272042","Musicians and singers",51499.7693619925,41345.83179609289,"new-jersey"
2020,"2020","04000US35","New Mexico","true","true","272042","Musicians and singers",25782.639194139196,32117.798508787393,"new-mexico"
2020,"2020","04000US36","New York","true","true","272042","Musicians and singers",46330.701260192734,16129.815960185311,"new-york"
2020,"2020","04000US37","North Carolina","true","true","272042","Musicians and singers",30510.09715407262,16158.238172501957,"north-carolina"
2020,"2020","04000US38","North Dakota","true","true","272042","Musicians and singers",11945.312925170068,27993.448329604646,"north-dakota"
2020,"2020","04000US39","Ohio","true","true","272042","Musicians and singers",25464.667892156864,18455.971934074427,"ohio"
2020,"2020","04000US40","Oklahoma","true","true","272042","Musicians and singers",36807.19321148825,57326.98153943813,"oklahoma"
2020,"2020","04000US41","Oregon","true","true","272042","Musicians and singers",16537.279447603574,14482.758761267698,"oregon"
2020,"2020","04000US42","Pennsylvania","true","true","272042","Musicians and singers",33590.257749232056,22706.17512358437,"pennsylvania"
2020,"2020","04000US44","Rhode Island","true","true","272042","Musicians and singers",28144.50429799427,43767.126017616734,"rhode-island"
2020,"2020","04000US45","South Carolina","true","true","272042","Musicians and singers",21506.747330960854,23376.32637554388,"south-carolina"
2020,"2020","04000US46","South Dakota","true","true","272042","Musicians and singers",2180.126984126984,7303.721322683947,"south-dakota"
2020,"2020","04000US47","Tennessee","true","true","272042","Musicians and singers",32504.460566138507,11229.427580141271,"tennessee"
2020,"2020","04000US48","Texas","true","true","272042","Musicians and singers",32201.19100992411,13686.439182359898,"texas"
2020,"2020","04000US49","Utah","true","true","272042","Musicians and singers",36424.20430107527,37182.10793859579,"utah"
2020,"2020","04000US50","Vermont","true","true","272042","Musicians and singers",31485.380341880344,32789.996976513845,"vermont"
2020,"2020","04000US51","Virginia","true","true","272042","Musicians and singers",37874.61329063251,22102.601764599043,"virginia"
2020,"2020","04000US53","Washington","true","true","272042","Musicians and singers",30557.376932223542,18523.44161413694,"washington"
2020,"2020","04000US54","West Virginia","true","true","272042","Musicians and singers",16591.448051948053,34018.38929382189,"west-virginia"
2020,"2020","04000US55","Wisconsin","true","true","272042","Musicians and singers",17914.10408745247,11746.722712101493,"wisconsin"
